fecha,activo,direction,monto,resultado,ganancia_perdida,rsi_9,rsi_14,sma_5,sma_20,cruce_sma,breakout,rsi_reversion,racha_actual,es_rebote,ciclo_martingala,payout_total,payout_multiplier,puntaje_estrategia,result_bin,trade_status,epoch,ts,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,ia_prob_en_juego,ia_prob_source,ia_decision_id,ia_gate_real,ia_modo_ack,ia_ready_ack
2026-03-16 18:24:39,1HZ100V,PUT,1.0,PENDIENTE,,50.99,41.43,1754.7220000000002,1757.7935000000002,1,1,0,0,0,1,1.95,1.95,0.666667,,PRE_TRADE,1773703479,2026-03-16T23:24:39.053518+00:00,-0.0018950171860417058,0.0002794538672993402,-0.002224346065012262,0.00019490266834292267,0.0016486364872953256,0.002200496994834703,-0.9284785765432916,0.8465473145780227,-0.11253196930948106,-0.2,,,fulll50|1773703479|C1|1HZ100V|PUT|BUOUMG8VGG7BUHW,,,
2026-03-16 18:26:12,1HZ100V,PUT,1.0,PÉRDIDA,-1.0,50.99,41.43,1754.7220000000002,1757.7935000000002,1,1,0,0,0,1,1.95,1.95,0.666667,0,CERRADO,1773703479,2026-03-16T23:26:12.814885+00:00,-0.0018950171860417058,0.0002794538672993402,-0.002224346065012262,0.00019490266834292267,0.0016486364872953256,0.002200496994834703,-0.9284785765432916,0.8465473145780227,-0.11253196930948106,-0.2,0.6633333333333334,HUD,fulll50|1773703479|C1|1HZ100V|PUT|DEMO,0.6,LOW_DATA,True
2026-03-16 18:27:05,1HZ25V,PUT,2.0,PENDIENTE,,48.21,50.18,855802.116,855864.4684999998,1,1,0,-1,0,2,3.91,1.955,0.666667,,PRE_TRADE,1773703625,2026-03-16T23:27:05.356639+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,fulll50|1773703625|C2|1HZ25V|PUT|BUOUMG8VGG7BUHW,,,
2026-03-16 18:28:38,1HZ25V,PUT,2.0,PÉRDIDA,-2.0,48.21,50.18,855802.116,855864.4684999998,1,1,0,-1,0,2,3.91,1.955,0.666667,0,CERRADO,1773703625,2026-03-16T23:28:38.464404+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,NO_READY,fulll50|1773703625|C2|1HZ25V|PUT|DEMO,0.6,MODELO,False
2026-03-16 18:29:40,1HZ100V,CALL,4.0,PENDIENTE,,46.94,48.29,1758.792,1758.0730000000003,1,1,0,-2,0,3,7.82,1.955,0.666667,,PRE_TRADE,1773703780,2026-03-16T23:29:40.994149+00:00,0.0009216275259421754,-0.000335232986925867,0.003341849536931502,-0.00011883156166276006,0.0017098566764576285,0.0021529713517501156,0.3277721842783657,0.5829787234042718,0.025531914893592318,0.6,,,fulll50|1773703780|C3|1HZ100V|CALL|BUOUMG8VGG7BUHW,,,
2026-03-16 18:31:14,1HZ100V,CALL,4.0,GANANCIA,3.82,46.94,48.29,1758.792,1758.0730000000003,1,1,0,-2,0,3,7.82,1.955,0.666667,1,CERRADO,1773703780,2026-03-16T23:31:14.766661+00:00,0.0009216275259421754,-0.000335232986925867,0.003341849536931502,-0.00011883156166276006,0.0017098566764576285,0.0021529713517501156,0.3277721842783657,0.5829787234042718,0.025531914893592318,0.6,0.98,SENAL,fulll50|1773703780|C3|1HZ100V|CALL|DEMO,0.6,MODELO,True
2026-03-16 18:32:18,1HZ100V,CALL,1.0,PENDIENTE,,53.49,53.14,1759.6119999999999,1757.5595,1,1,0,1,0,1,1.95,1.95,0.666667,,PRE_TRADE,1773703938,2026-03-16T23:32:18.374681+00:00,0.0008469614547273575,-0.00017035581651540273,0.0018150472538164667,0.0002347108339793153,0.0017574517246966973,0.0021997579937394146,0.9254960884198457,0.6942148760330633,-0.17355371900819536,0.2,,,fulll50|1773703938|C1|1HZ100V|CALL|BUOUMG8VGG7BUHW,,,
2026-03-16 18:33:52,1HZ100V,CALL,1.0,GANANCIA,0.95,53.49,53.14,1759.6119999999999,1757.5595,1,1,0,1,0,1,1.95,1.95,0.666667,1,CERRADO,1773703938,2026-03-16T23:33:52.096341+00:00,0.0008469614547273575,-0.00017035581651540273,0.0018150472538164667,0.0002347108339793153,0.0017574517246966973,0.0021997579937394146,0.9254960884198457,0.6942148760330633,-0.17355371900819536,0.2,,NO_READY,fulll50|1773703938|C1|1HZ100V|CALL|DEMO,0.6,MODELO,False
2026-03-16 18:34:54,1HZ100V,CALL,1.0,PENDIENTE,,51.99,54.7,1761.2699999999998,1757.4889999999996,1,1,0,2,0,1,1.95,1.95,0.666667,,PRE_TRADE,1773704094,2026-03-16T23:34:54.366526+00:00,0.00040827204527284894,0.00285352114277268,0.0018341642911494577,0.0008028297762410137,0.001514226452635295,0.0020975067681958375,2.0471935121869795,0.10676156583627619,-0.4448398576512182,0.2,,,fulll50|1773704094|C1|1HZ100V|CALL|BUOUMG8VGG7BUHW,,,
2026-03-16 18:36:27,1HZ100V,CALL,1.0,GANANCIA,0.95,51.99,54.7,1761.2699999999998,1757.4889999999996,1,1,0,2,0,1,1.95,1.95,0.666667,1,CERRADO,1773704094,2026-03-16T23:36:27.918398+00:00,0.00040827204527284894,0.00285352114277268,0.0018341642911494577,0.0008028297762410137,0.001514226452635295,0.0020975067681958375,2.0471935121869795,0.10676156583627619,-0.4448398576512182,0.2,,NO_READY,fulll50|1773704094|C1|1HZ100V|CALL|DEMO,0.6,MODELO,False
